model,split,horizon,rows,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
XGBoost,test,8,14679,14.336813578848977,9.122431528682775,0.6674622129370943,-0.7344780840335453
XGBoost,test,9,14679,14.761199120626005,9.370757024672631,0.6474685238226816,-0.862817049192159
XGBoost,test,10,14679,15.285612750807356,9.698869641712864,0.621961075357634,-0.8636387400442299
XGBoost,test,11,14679,15.40630935900444,9.771138857034517,0.6159558809939119,-0.8673125705891809
XGBoost,test,12,14679,15.705468341336319,9.939240622557802,0.6008827257581946,-0.749045344501565
XGBoost,test,13,14679,15.849246771102907,10.076504851183438,0.5935234610252371,-0.5269159662974481
XGBoost,test,14,14679,16.04169419202704,10.261428304728504,0.5835773823023169,-0.4234727069283792
XGBoost,test,15,14679,16.20112332255789,10.409380791757224,0.5752475763262435,-0.3697410670683973
XGBoost,test,16,14679,16.20996954870821,10.36778841932785,0.574716395932972,-0.37906206427108385
XGBoost,test,17,14679,16.0689337835655,10.355374885409395,0.5820137974960211,-0.038890797757787074
XGBoost,test,18,14679,15.902794470219709,10.26566770368948,0.5904908741601083,0.045749677300363854
XGBoost,test,19,14679,16.010260199750686,10.282699664417555,0.5847332809347066,-0.00033521619087682975
XGBoost,test,20,14679,16.00282271622729,10.360128837051146,0.5848973779096104,0.30041450648876605
XGBoost,test,21,14679,15.977980443717241,10.287222371626651,0.5858139690402617,0.11732630486367839
XGBoost,test,22,14679,16.04138337098834,10.337458405376772,0.5820893997155625,0.15206647590051475
XGBoost,test,23,14679,16.032091935154753,10.27306098253219,0.5821423222833442,0.15507118750823726
XGBoost,test,24,14679,15.957416040680002,10.231795807464286,0.5856052312027429,0.27992362174361507
XGBoost,validation,1,14679,4.725475949668551,2.685511772482684,0.964644827416148,0.16934933392469964
XGBoost,validation,2,14679,7.527038079454299,4.57672526680633,0.9102972690031511,-0.22271229317893315
XGBoost,validation,3,14679,9.905398888494867,6.2552831849428845,0.8446585252627593,-0.5337260289221109
XGBoost,validation,4,14679,11.779101666602553,7.494385412848851,0.7803422717595714,-0.8948678663295232
XGBoost,validation,5,14679,13.400279249330524,8.538732729251139,0.7157375214563262,-1.1082016829500991
XGBoost,validation,6,14679,14.667674804718997,9.302178378722042,0.6594356257429697,-1.524280168568538
XGBoost,validation,7,14679,15.583584246873851,9.81727833987273,0.6155863197834686,-1.6883981040212903
XGBoost,validation,8,14679,16.350346992202137,10.210402807444527,0.5768344842323703,-1.9799905049329034
XGBoost,validation,9,14679,16.804664647607577,10.398799592511955,0.5529963299654223,-2.204921920176577
XGBoost,validation,10,14679,17.285032729103563,10.644010470603611,0.527091026723779,-2.3372627279220675
XGBoost,validation,11,14679,17.399224182874825,10.639773035760845,0.520847635194005,-2.559033063851777
XGBoost,validation,12,14679,17.627595008033868,10.765908464764012,0.5082261396932994,-2.5130480802224024
XGBoost,validation,13,14679,17.817828392092522,10.877117736567447,0.4976067093883271,-2.4626540564802055
XGBoost,validation,14,14679,18.092443722067838,11.064394847748511,0.48205459025336184,-2.520049104379352
XGBoost,validation,15,14679,18.22130274202996,11.142689821409736,0.47470256087454243,-2.44395456808498
XGBoost,validation,16,14679,18.232831576101393,11.144582288903058,0.4740840810822913,-2.4550228487918218
XGBoost,validation,17,14679,18.096034061022774,11.126250781112473,0.4820117814766257,-2.211442905924724
XGBoost,validation,18,14679,18.076691697104433,11.065998763448173,0.4832276669732337,-2.0548020042103947
XGBoost,validation,19,14679,18.111622112509355,11.037207557157954,0.4813617218957912,-2.29974256492504
XGBoost,validation,20,14679,18.10442413673042,11.127382498841916,0.48194799676054456,-1.8177913455273167
XGBoost,validation,21,14679,18.193295994844704,11.093336271198563,0.4770329221450801,-2.138783498359023
XGBoost,validation,22,14679,18.176053095146987,11.17097450547147,0.4781682839211753,-1.9011398514883335
XGBoost,validation,23,14679,18.16503082250975,11.0983500689396,0.47890929159753526,-2.1187639307655797
XGBoost,validation,24,14679,18.095191662963646,11.056819503298735,0.48300665773887974,-1.9644880414991746
